Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
26.22,74.7,1423,400,13383,20268,937.067,0.84,0.87,5.77,0.9,0.02,0
13.21,51.62,0,400,12467,19299,939.755,0.81,3.38,0,3.909,2.488,0
25.95,47.42,115,417,12781,20608,937.408,1.78,1.85,12.24,1.908,0.043,0
29.86,39.02,62,433,12852,20734,937.557,2.21,2.3,15.21,2.371,0.054,0
-8.349,51.51,161,400,13174,20111,939.674,1.45,1.5,9.97,1.554,0.035,1
-5.787,50.08,209,400,13141,20053,939.622,0.43,0.45,2.95,0.46,0.01,1
16.116,52.72,1170,609,12803,19442,939.03,1.9,1.98,13.11,2.044,0.046,1
29.67,39.37,49,438,12853,20744,937.621,2.25,2.34,15.5,2.417,0.055,0
46.16,27.55,13372,503,12756,19110,936.883,0.7,0.72,4.79,0.747,0.017,0
20.127,43.76,34,455,12857,20747,937.604,2.19,2.28,15.07,2.35,0.053,0
27.26,47.78,94,400,12795,20632,937.423,1.74,1.8,11.96,1.864,0.042,0
26.37,49.74,1084,591,12821,19467,938.988,2.11,2.19,14.53,2.266,0.051,1
12.399,47.52,1157,443,12865,19447,938.829,1.85,1.93,12.76,1.989,0.045,1
20.32,34.92,3118,400,13137,19837,936.86,1.04,1.08,7.17,1.118,0.025,0
12.319,17.13,532,400,13789,20668,936.69,0.8,0.83,5.49,0.856,0.019,0
27.02,46.89,1009,570,12823,19475,939.027,2.37,2.46,16.31,2.544,0.057,1
-18.937,52.49,1377,401,12969,19397,938.744,1.67,1.74,11.51,1.795,0.041,1
12.046,47.82,1186,426,12872,19438,938.803,1.54,1.6,10.57,1.649,0.037,1
15.026,47.05,1145,463,12856,19446,938.903,2.01,2.09,13.85,2.16,0.049,1
24.66,52.27,1076,583,12825,19462,939.046,2.12,2.2,14.58,2.273,0.051,1
18.38,51.62,113,400,13177,20065,939.619,0.93,0.97,6.43,1.003,0.023,0
18.48,56.47,241,400,13130,20026,939.572,0.37,0.38,2.54,0.396,0.009,1
-4.127,55.62,316,400,13110,19955,939.417,0.21,0.21,1.41,0.22,0.005,1
46.3,16.51,59,400,13556,21102,936.821,0.84,0.88,5.82,0.907,0.02,0
24.49,53.58,1161,408,12888,19439,938.775,1.78,1.85,12.28,1.914,0.043,1
25.98,47.12,1233,445,12861,19421,938.802,1.89,1.96,13.01,2.029,0.046,1
21.93,61.55,614,516,12882,19632,939.17,2.8,2.91,19.25,3.002,0.068,1
24.31,54.18,1404,420,12988,19389,938.786,1.76,1.83,12.13,1.892,0.043,1
19.313,48.89,206,431,12767,20518,937.381,1.46,1.51,10.03,1.564,0.035,0
24.43,53.7,1331,413,12994,19397,938.806,1.5,1.56,10.33,1.611,0.036,1
-6.837,49.77,197,400,13160,20070,939.619,0.79,0.82,5.42,0.846,0.019,1
6.401,53.42,1348,410,12983,19385,938.806,1.74,1.81,12,1.871,0.042,1
-7.369,54.69,182,400,13160,20078,939.654,0.86,0.89,5.92,0.924,0.021,1
-4.49,55.4,711,739,12764,19553,939.159,2.95,3.06,20.28,3.162,0.071,1
24.36,54.17,1329,410,12962,19380,938.72,2.11,2.19,14.53,2.266,0.051,1
17.317,52.27,1111,488,12848,19448,938.9,1.81,1.88,12.49,1.947,0.044,1
-7.992,54.55,21,400,13257,20203,939.657,2.25,2.34,15.48,2.414,0.055,1
26.99,47.76,1145,400,12924,19430,938.72,1.73,1.8,11.92,1.859,0.042,1
23.97,53.39,1000,665,12785,19481,939.1,2.36,2.46,16.27,2.538,0.057,1
26.36,50.88,1120,400,12934,19446,938.741,1.58,1.65,10.9,1.699,0.038,1
-4.816,55.34,249,400,13124,20011,939.508,0.54,0.56,3.72,0.579,0.013,1
25.14,50.39,1243,420,12910,19416,938.708,1.57,1.63,10.8,1.685,0.038,1
24.89,51.73,1367,407,12967,19374,938.708,1.53,1.59,10.52,1.64,0.037,1
24.49,53.64,1138,401,12917,19444,938.698,1.48,1.53,10.16,1.585,0.036,1
26.96,47.9,1218,403,12919,19430,938.716,1.55,1.61,10.65,1.661,0.038,1
-4.23,50.69,308,400,13112,19966,939.396,0.22,0.23,1.54,0.24,0.005,1
24.87,51.84,1379,413,12959,19388,938.711,1.89,1.96,12.99,2.025,0.046,1
24.59,53.31,1392,412,12959,19378,938.728,1.94,2.02,13.35,2.082,0.047,1
24.4,53.77,1354,421,12953,19384,938.704,2.53,2.62,17.38,2.71,0.061,1
-4.095,52.99,101,400,13224,20115,939.655,2.21,2.3,15.22,2.373,0.054,1
0.905,48.23,185,400,13200,20025,939.682,2.29,2.38,15.74,2.454,0.055,1
18.18,48.33,28,400,13180,20092,939.586,0.82,0.85,5.62,0.877,0.02,0
27.091,56.38,14,400,13009,19923,939.744,0.12,0.13,0.84,0.131,0.003,0
-9.241,41.17,64,400,12790,20665,937.492,2.43,2.53,16.76,2.613,0.059,0
26.2,46.55,129,415,12785,20594,937.322,1.82,1.89,12.51,1.951,0.044,0
17.421,50.41,53,400,13187,20119,939.626,1.03,1.07,7.1,1.107,0.025,0
27.05,47.47,1084,400,12892,19457,938.737,2.08,2.16,14.31,2.232,0.05,1
25.582,50.39,12,400,12812,19803,939.818,0.14,0.16,0.96,0.166,0.013,0
24.82,51.98,1130,539,12838,19457,938.915,1.88,1.95,12.93,2.016,0.046,1
40.33,37.27,8222,400,12976,19435,936.867,0.49,0.5,3.34,0.521,0.012,0
-7.243,53.85,1289,400,12999,19406,938.801,1.83,1.9,12.57,1.96,0.044,1
28.73,41.65,148,406,12791,20575,937.336,1.94,2.01,13.34,2.079,0.047,0
24.8,50.2,1132,655,12789,19445,939.111,2.45,2.55,16.88,2.632,0.059,1
-5.223,53.88,71,400,13242,20150,939.673,2.27,2.36,15.62,2.436,0.055,1
24.92,51.75,1092,481,12858,19449,938.882,1.77,1.84,12.19,1.901,0.043,1
26.74,48.41,1117,515,12841,19447,938.872,1.99,2.06,13.67,2.131,0.048,1
-1.271,53.41,123,400,13229,20100,939.619,2.28,2.37,15.71,2.45,0.055,1
9.612,45.93,83,458,12773,20669,937.529,2.41,2.5,16.56,2.582,0.058,0
27.32,39.03,0,400,13431,21309,937.426,1.95,2.02,13.41,2.091,0.047,0
12.655,47.2,1184,424,12872,19429,938.757,2.03,2.11,13.96,2.177,0.049,1
-2.729,57.16,915,725,12772,19515,939.14,2.08,2.16,14.33,2.235,0.05,1
25.4,48.69,1233,447,12866,19428,938.805,1.69,1.76,11.65,1.817,0.041,1
12.076,48.76,1228,436,12863,19420,938.788,1.46,1.51,10.02,1.563,0.035,1
24.83,52.05,1346,400,12969,19388,938.716,1.81,1.88,12.42,1.938,0.044,1
20.748,46.51,183,433,12770,20544,937.413,1.96,2.04,13.51,2.106,0.048,0
26.3,49.85,1061,591,12816,19464,939.04,1.87,1.94,12.88,2.009,0.045,1
22.19,48.7,56,400,13254,20154,939.689,2.57,2.67,17.69,2.758,0.062,1
25.79,49.18,201,438,12764,20513,937.359,1.84,1.91,12.67,1.976,0.045,0
20.78,48.67,112,400,13220,20105,939.664,2.19,2.27,15.06,2.349,0.053,1
50.6,13.8,2141,400,13557,20121,936.705,0.83,0.86,5.7,0.888,0.02,0
26.75,48.4,1325,400,12965,19398,938.719,1.76,1.83,12.09,1.885,0.043,1
-4.608,55.81,303,400,13123,19966,939.371,0.23,0.24,1.58,0.247,0.006,1
38.57,16.53,616,11093,11958,19499,930.92,2.49,2.59,17.13,2.671,0.06,1
28.14,44.88,180,419,12779,20548,937.34,1.72,1.79,11.86,1.85,0.042,0
10.95,50.18,1387,438,12976,19377,938.838,2.26,2.35,15.56,2.426,0.055,1
15.793,53.32,1245,410,12930,19422,938.724,1.42,1.47,9.76,1.522,0.034,1
-18.509,48.14,1304,401,12968,19395,938.735,1.97,2.04,13.54,2.111,0.048,1
-5.216,55.39,364,400,13053,19896,939.285,0.35,0.36,2.38,0.371,0.008,1
39.84,14.63,178,3203,12542,20226,930.932,0.88,0.91,6.05,0.943,0.021,1
-4.749,57.14,326,400,13096,19933,939.33,0.2,0.21,1.37,0.214,0.005,1
-21.378,53.87,1408,416,12964,19376,938.717,1.77,1.84,12.21,1.905,0.043,1
-8.948,52.26,29,400,13254,20201,939.688,2.57,2.67,17.66,2.754,0.062,1
24.58,53.29,1168,408,12882,19438,938.753,1.72,1.78,11.81,1.841,0.042,1
2.405,47.28,218,400,13168,20000,939.695,2.08,2.16,14.28,2.228,0.05,1
20.191,43.84,29,454,12858,20752,937.61,2.24,2.32,15.39,2.4,0.054,1
21.56,59.54,582,559,12864,19679,939.234,2.52,2.62,17.33,2.702,0.061,1
-0.691,49.85,870,687,12789,19512,939.086,2.21,2.3,15.24,2.376,0.054,1
-21.975,47.92,1327,400,12972,19395,938.725,1.79,1.86,12.31,1.92,0.043,1
20.118,53.38,1224,402,12909,19425,938.706,1.71,1.77,11.75,1.833,0.041,1
-18.21,53.49,1364,404,12964,19388,938.743,1.66,1.73,11.45,1.785,0.04,1
24.41,53.83,1176,400,12928,19432,938.71,1.89,1.96,12.97,2.023,0.046,1
7.407,57.19,266,400,13146,19953,939.665,2.3,2.39,15.85,2.471,0.056,1
-5.035,48.74,70,400,13241,20149,939.657,2.25,2.34,15.51,2.419,0.055,1
-9.223,55.46,47,400,13245,20209,939.716,2.3,2.39,15.81,2.465,0.056,1
-3.86,48.07,107,400,13230,20110,939.65,2.1,2.18,14.46,2.255,0.051,1
-20.735,49.29,1408,426,12962,19369,938.703,2.16,2.24,14.87,2.318,0.052,1
16.008,50.09,1086,400,12910,19454,938.719,1.56,1.62,10.7,1.669,0.038,1
22.32,48.24,39,400,13245,20177,939.701,1.79,1.86,12.29,1.917,0.043,1
9.404,54.34,1321,413,12990,19390,938.848,1.68,1.75,11.59,1.808,0.041,1
-3.556,52.7,118,400,13226,20099,939.649,1.81,1.89,12.49,1.948,0.044,1
53.46,22.41,60000,16045,11079,15813,936.815,7323.64,13432.63,35773.62,14825.074,5830.477,0
17.376,51.95,62,400,13191,20115,939.616,0.97,1.01,6.68,1.041,0.024,0
24.93,51.9,1170,400,12912,19436,938.696,1.79,1.86,12.3,1.919,0.043,1
26.9,48.09,1161,400,12926,19442,938.708,1.82,1.89,12.51,1.95,0.044,1
24.029,54.51,60,400,13115,19998,939.628,0.83,0.86,5.72,0.892,0.02,0
22.01,49.45,2,400,13263,20222,939.728,2.59,2.69,17.8,2.776,0.063,1
26.8,48.21,1279,400,12995,19404,938.802,2.11,2.19,14.53,2.266,0.051,1
11.998,47.09,1159,409,12880,19443,938.807,1.7,1.77,11.71,1.826,0.041,1
26.8,48.51,1151,400,12927,19441,938.718,1.69,1.76,11.65,1.816,0.041,1
24.47,53.32,1381,417,12950,19391,938.706,2.07,2.15,14.27,2.225,0.05,1
-5.895,55.32,224,400,13139,20045,939.624,0.41,0.42,2.81,0.439,0.01,1
12.18,47.28,1140,410,12882,19440,938.76,1.91,1.98,13.14,2.05,0.046,1
54.24,20.33,50296,977,12507,18470,936.901,0.89,0.93,6.13,0.957,0.022,0
-4.352,50.26,315,400,13110,19956,939.408,0.22,0.23,1.52,0.238,0.005,1
17.056,50.82,1096,586,12815,19451,939.02,2.12,2.21,14.62,2.281,0.052,1
19.038,36.77,8061,400,12958,19446,936.886,0.42,0.44,2.89,0.451,0.01,0
14.34,52.5,29,400,13038,19937,939.729,0.29,0.31,2.02,0.315,0.007,0
20.29,54.01,270,400,13131,19999,939.439,0.44,0.45,3,0.468,0.011,1
-9.191,51.88,2,400,13275,20238,939.723,2.43,2.52,16.73,2.608,0.059,1
25.06,50.33,1136,575,12817,19445,938.994,1.95,2.03,13.43,2.094,0.047,1
26.95,47.83,1331,400,12959,19386,938.732,2.12,2.2,14.56,2.271,0.051,1
17.162,52.94,1113,587,12819,19460,939.014,2.25,2.34,15.49,2.416,0.055,1
10.136,16.55,66,400,13550,21093,936.812,0.84,0.87,5.77,0.899,0.02,0
-20.964,48.34,1419,426,12954,19367,938.716,1.76,1.83,12.11,1.888,0.043,1
24.54,53.13,1166,542,12834,19436,938.867,1.91,1.99,13.15,2.051,0.046,1
7.336,51.17,1059,670,12786,19456,939.077,2.29,2.38,15.76,2.457,0.055,1
-9.275,55.29,0,400,13269,20245,939.718,2.39,2.49,16.47,2.568,0.058,1
29.27,40.52,67,400,12831,20702,937.514,1.79,1.86,12.32,1.921,0.043,0
-4.247,56.51,808,909,12667,19528,939.156,2.54,2.64,17.51,2.731,0.062,1
26.95,47.62,1147,406,12888,19447,938.747,2.16,2.24,14.85,2.316,0.052,1
25.2,48.77,1302,400,12995,19401,938.773,2.24,2.32,15.4,2.401,0.054,1
22.33,54.04,294,400,13129,19921,939.676,1.77,1.84,12.17,1.898,0.043,1
8.556,66.44,77,400,13251,20139,939.687,2.75,2.86,18.94,2.953,0.067,1
4.202,54.33,1002,669,12789,19472,939.063,2.28,2.37,15.69,2.446,0.055,1
24.78,52.72,1226,410,12924,19418,938.7,1.44,1.49,9.9,1.543,0.035,1
26.99,47.76,1182,407,12923,19427,938.707,1.46,1.52,10.04,1.566,0.035,1
25.92,53.45,1323,400,12975,19401,938.704,1.92,1.99,13.22,2.061,0.047,1
26.65,49.04,1132,400,12900,19439,938.71,1.58,1.64,10.89,1.698,0.038,1
6.441,53.55,1367,418,12988,19390,938.797,1.75,1.82,12.05,1.88,0.042,1
21.69,48.98,183,400,13162,20079,939.67,0.85,0.88,5.83,0.908,0.021,1
16.425,52.09,1122,479,12851,19447,938.892,1.77,1.84,12.19,1.902,0.043,1
20.61,55.29,311,400,13109,19889,939.697,1.24,1.29,8.56,1.335,0.03,1
0.553,47.45,1312,400,12954,19404,938.692,2.13,2.22,14.69,2.291,0.052,1
17.216,53.39,1147,400,12904,19441,938.691,1.58,1.64,10.87,1.696,0.038,1
-3.84,53.98,1344,408,12986,19388,938.806,1.68,1.74,11.55,1.8,0.041,1
24.2,53.7,1096,627,12806,19461,939.032,1.91,1.98,13.13,2.047,0.046,1
26.99,47.58,1348,400,12962,19390,938.724,1.91,1.99,13.17,2.053,0.046,1
21.453,55.81,15,406,12530,19631,939.789,0.06,0.19,0.11,0.217,0.124,0
8.477,18.89,75,400,13548,21080,936.814,0.85,0.89,5.88,0.917,0.021,0
19.611,50.19,1050,492,12850,19462,938.863,1.93,2,13.27,2.069,0.047,1
20.26,54.94,353,400,13080,19913,939.278,0.43,0.44,2.93,0.457,0.01,1
22.9,59.48,720,710,12776,19549,939.137,2.97,3.08,20.42,3.184,0.072,1
-7.603,52.49,184,400,13156,20078,939.66,0.94,0.98,6.49,1.012,0.023,1
2.639,47.63,1381,410,12946,19377,938.687,2.18,2.27,15.01,2.34,0.053,1
17.67,53.26,21,400,13206,20135,939.562,0.99,1.03,6.85,1.068,0.024,0
22.24,56.12,237,400,13170,19977,939.669,2.4,2.49,16.5,2.573,0.058,1
5.101,49.03,1344,403,12990,19401,938.818,1.95,2.03,13.43,2.094,0.047,1
17.615,41.13,42,400,12838,20718,937.494,1.78,1.85,12.28,1.916,0.043,0
26.91,47.69,1141,505,12847,19447,938.873,1.59,1.65,10.96,1.71,0.039,1
24.34,54.27,1375,400,12974,19383,938.685,1.57,1.63,10.83,1.689,0.038,1
26.26,46.44,96,415,12780,20615,937.401,1.69,1.75,11.61,1.811,0.041,0
20.77,46.55,62,400,13211,20114,939.651,0.91,0.94,6.26,0.976,0.022,0
24.43,53.39,1266,400,12956,19408,938.703,2.03,2.11,13.98,2.18,0.049,1
48.03,27.84,60000,5515,11592,16983,936.853,2117.33,2199.83,14572.71,2272.44,51.326,0
9.689,52.7,1071,400,12989,19461,938.733,2.14,2.22,14.71,2.294,0.052,1
24.61,53.05,1115,477,12857,19455,938.889,1.79,1.86,12.3,1.919,0.043,1
25.31,49.32,1220,493,12849,19424,938.878,1.93,2,13.27,2.069,0.047,1
15.688,48.31,75,400,13199,20103,939.65,1,1.04,6.9,1.075,0.024,0
25.128,51.44,10,400,12766,19776,939.817,0.16,0.18,1.02,0.191,0.024,0
27.04,47.44,1191,413,12878,19430,938.777,1.65,1.72,11.38,1.774,0.04,1
18.33,56.49,290,400,13116,19986,939.446,0.28,0.29,1.9,0.296,0.007,1
24.58,53.34,1128,400,12891,19439,938.793,1.45,1.51,9.98,1.556,0.035,1
18.27,50.75,19,400,13210,20140,939.622,1.14,1.18,7.83,1.22,0.028,0
25.6,47.58,1230,557,12824,19431,938.892,2.14,2.23,14.76,2.302,0.052,1
-5.158,53.35,71,400,13242,20147,939.651,2.1,2.19,14.48,2.258,0.051,1
26.48,48.17,1040,628,12804,19469,939.1,2.08,2.16,14.33,2.234,0.05,1
22.086,53.44,42,400,13128,20009,939.635,0.65,0.67,4.46,0.695,0.016,0
19.55,64.44,214,400,13182,19999,939.69,2.26,2.35,15.57,2.428,0.055,1
26.9,47.99,1143,400,12896,19449,938.804,1.96,2.03,13.46,2.099,0.047,1
26.3,49.7,1002,400,13010,19480,938.699,2.4,2.49,16.51,2.575,0.058,1
24.55,53.4,1178,403,12912,19443,938.697,1.9,1.97,13.07,2.039,0.046,1
24.54,52.92,1124,582,12820,19451,938.949,1.86,1.93,12.77,1.992,0.045,1
24.54,53.26,1140,443,12871,19444,938.823,1.89,1.96,13.02,2.03,0.046,1
19.88,49.41,24,400,13203,20136,939.597,1.04,1.08,7.19,1.121,0.025,0
-21.656,52.56,1335,400,12972,19392,938.735,1.69,1.75,11.62,1.812,0.041,1
15.12,55.78,0,400,13047,19956,939.768,0.12,0.13,0.83,0.13,0.003,0
7.494,56.24,229,400,13169,19981,939.687,2.42,2.51,16.66,2.598,0.059,1
14.383,47,112,400,13231,21042,937.013,1.67,1.74,11.5,1.793,0.04,0
-8.08,48.65,27,400,13256,20194,939.712,2.21,2.3,15.23,2.375,0.054,1
19.92,59.83,318,400,13115,19891,939.691,1.16,1.21,8.01,1.249,0.028,1
-5.103,58.63,601,529,12872,19649,939.242,2.3,2.39,15.86,2.472,0.056,1
18.98,55.15,213,400,13148,20061,939.593,0.56,0.58,3.86,0.602,0.014,1
12.002,53.21,1132,413,12872,19439,938.808,1.73,1.8,11.93,1.861,0.042,1
-4.191,41.71,124,404,12789,20598,937.428,1.6,1.66,11,1.715,0.039,0
24,52.92,698,840,12711,19559,939.111,2.53,2.63,17.44,2.72,0.061,1
-8.075,48.74,27,400,13253,20195,939.711,2.22,2.31,15.3,2.386,0.054,1
26.77,47.51,992,593,12818,19479,939.058,2.22,2.31,15.31,2.388,0.054,1
-9.207,50.04,51,400,13248,20203,939.718,3.04,3.15,20.9,3.258,0.074,1
11.448,52.71,1128,400,12978,19442,938.763,2.01,2.09,13.81,2.154,0.049,1
26.9,45.15,22,415,12846,20760,937.582,2.04,2.12,14.05,2.19,0.049,0
18.464,47.47,1243,401,12925,19425,938.71,1.46,1.51,10.03,1.564,0.035,1
15.72,56.02,10,400,13148,20041,939.621,0.79,0.82,5.41,0.843,0.019,0
13.762,41.78,166,400,13172,20982,937.021,1.83,1.9,12.57,1.96,0.044,0
24.45,52.54,1048,632,12803,19467,939.116,2.39,2.49,16.48,2.57,0.058,1
-15.791,11.93,2589,400,13557,20019,936.734,0.52,0.55,3.61,0.563,0.013,0
12.756,48.62,1157,452,12868,19436,938.816,1.48,1.54,10.2,1.591,0.036,1
-4.367,53.46,328,400,13099,19939,939.38,0.23,0.23,1.55,0.242,0.005,1
-4.216,50.85,260,400,13136,20006,939.478,0.61,0.64,4.21,0.657,0.015,1
25.75,48.85,175,437,12770,20551,937.343,1.84,1.91,12.65,1.972,0.045,0
38.85,37.46,9575,400,12869,19359,936.867,0.44,0.45,3,0.469,0.011,0
17.478,53.43,1140,413,12900,19440,938.73,1.99,2.06,13.67,2.131,0.048,1
-0.12,46.69,71,400,12782,20662,937.557,2.13,2.21,14.66,2.286,0.052,0
20.95,45.84,99,400,13192,20080,939.612,1.02,1.06,7.04,1.098,0.025,0
26.44,50.05,1320,400,12974,19397,938.701,1.76,1.83,12.13,1.891,0.043,1
29.69,39.57,26,400,12840,20749,937.574,1.98,2.06,13.65,2.129,0.048,0
25.86,47.51,1404,436,12942,19369,938.711,2.36,2.45,16.25,2.533,0.057,1
26.83,48.33,1187,400,12924,19431,938.683,1.76,1.83,12.11,1.888,0.043,1
17.418,51.59,1094,415,12906,19453,938.723,1.91,1.99,13.17,2.053,0.046,1
14.267,50.65,1159,400,12953,19443,938.735,2.11,2.19,14.5,2.261,0.051,1
26.54,49.28,1306,400,12961,19400,938.703,2.05,2.13,14.14,2.205,0.05,1
26.53,49.71,1111,400,12907,19443,938.696,1.81,1.88,12.43,1.939,0.044,1
-21.999,53.48,1335,400,12982,19390,938.705,1.92,1.99,13.2,2.058,0.046,1
-21.486,11.56,60000,3164,11943,17450,936.725,1376.92,1756.03,8659.04,1867.035,349.3,0
14.022,42.02,168,433,12776,20555,937.369,1.58,1.65,10.9,1.7,0.038,0
-8.295,46.56,105,400,12779,20644,937.47,1.97,2.05,13.59,2.119,0.048,0
20.186,49.03,1253,426,12917,19417,938.673,2,2.08,13.77,2.147,0.049,1
19.85,54.01,35,400,13250,20218,939.731,2.5,2.6,17.19,2.681,0.061,1
11.97,54.91,22,400,12814,19799,939.829,0.12,0.13,0.85,0.133,0.003,0
20.831,49.09,172,432,12770,20544,937.379,1.47,1.53,10.12,1.578,0.036,0
26.88,47.76,1140,521,12846,19454,938.866,2.05,2.13,14.09,2.197,0.05,1
12.308,49.21,1101,400,12884,19451,938.796,1.94,2.01,13.32,2.078,0.047,1
26.305,55.35,26,400,12882,19831,939.797,0.21,0.22,1.43,0.224,0.005,0
24.59,53.2,1176,410,12886,19444,938.764,1.86,1.94,12.82,2,0.045,1
13.743,52.17,1136,410,12885,19442,938.742,1.44,1.5,9.91,1.545,0.035,1
26.99,47.65,1337,400,12963,19390,938.722,1.87,1.95,12.89,2.01,0.045,1
19.14,48.42,51,400,13127,19997,939.56,0.76,0.79,5.23,0.815,0.018,0
17.054,50.46,1155,500,12853,19447,938.907,1.86,1.93,12.78,1.993,0.045,1
25.51,50.14,894,687,12784,19512,939.083,2.16,2.24,14.84,2.314,0.052,1
26.92,47.95,1297,400,12995,19410,938.862,1.93,2.01,13.29,2.073,0.047,1
46.06,26.7,11127,400,12826,19259,936.862,1,1.04,6.91,1.078,0.024,0
46.46,29.1,60000,6453,11550,16907,936.849,2054.79,2134.85,14142.29,2205.324,49.809,0
10.883,47.18,1186,400,12962,19437,938.773,2.05,2.13,14.09,2.196,0.05,1
-4.796,56.2,245,400,13132,20020,939.492,0.44,0.46,3.03,0.473,0.011,1
20.23,47.42,27,400,13211,20141,939.612,1,1.04,6.91,1.078,0.024,0
26.83,47.21,1059,618,12813,19469,939.055,2.39,2.49,16.46,2.567,0.058,1
22.21,48.58,14,400,13264,20229,939.708,2.26,2.34,15.53,2.422,0.055,1
28.7,42.5,163,422,12776,20569,937.342,2.12,2.21,14.61,2.279,0.051,0
17.865,47.57,1164,408,12907,19443,938.7,1.76,1.83,12.09,1.886,0.043,1
12.651,47.21,1141,403,12887,19449,938.76,2.09,2.17,14.41,2.246,0.051,1
26.36,49.72,979,400,13011,19489,938.747,2.27,2.35,15.59,2.431,0.055,1
26.41,50.16,1343,400,12976,19394,938.689,1.73,1.8,11.89,1.855,0.042,1
27.36,39.11,0,400,13427,21379,937.404,1.5,1.56,10.31,1.608,0.036,0
17.361,43.15,213,450,12756,20498,937.368,1.36,1.41,9.37,1.462,0.033,0
59.72,11.61,60000,3054,11970,17475,936.728,1140.55,1457.3,7165.79,1549.784,291.973,0
23.62,55.35,778,755,12754,19542,939.159,2.97,3.08,20.42,3.185,0.072,1
-6.996,49.83,1281,400,13002,19410,938.804,1.92,2,13.25,2.066,0.047,1
24.48,53.54,1124,447,12868,19450,938.809,2.04,2.12,14.03,2.188,0.049,1
19.97,53.09,142,400,13227,20074,939.665,2.44,2.54,16.81,2.621,0.059,1
-6.596,49.3,195,400,13150,20068,939.613,0.85,0.89,5.87,0.916,0.021,1
26.83,48.99,11,400,13078,19958,939.71,0.43,0.45,2.95,0.46,0.01,0
26.883,55.26,0,400,13085,19973,939.729,0.52,0.54,3.59,0.56,0.013,0
20.407,53.78,0,400,13199,20127,939.618,0.83,0.86,5.72,0.893,0.02,0
20.204,51.17,0,403,12468,19338,939.742,0.71,2.96,0,3.419,2.176,0
24.82,50.61,1138,646,12794,19443,939.049,2.52,2.62,17.34,2.704,0.061,1
12.815,48.57,1061,429,12877,19466,938.82,1.85,1.92,12.71,1.981,0.045,1
-4.13,56.59,285,400,13116,19980,939.458,0.28,0.29,1.89,0.295,0.007,1
11.39,54.43,31,400,12632,19698,939.798,0.11,0.2,0.59,0.214,0.077,0
26.63,49,1354,404,12974,19384,938.698,1.75,1.82,12.06,1.881,0.042,1
24.36,54.11,1354,416,12988,19392,938.816,1.96,2.03,13.46,2.1,0.047,1
11.999,47.1,1117,400,12884,19449,938.825,1.69,1.75,11.62,1.812,0.041,1
4.058,14.68,984,400,13679,20422,936.675,0.67,0.7,4.62,0.72,0.016,0
-4.895,52.75,324,400,13098,19936,939.346,0.54,0.56,3.69,0.576,0.013,1
-6.146,51.24,233,400,13129,20040,939.611,0.96,0.99,6.58,1.026,0.023,1
8.659,51.98,894,400,13022,19497,938.73,2.54,2.64,17.5,2.729,0.062,1
-4.343,54.3,265,400,13124,19995,939.516,0.51,0.53,3.51,0.548,0.012,1
7.723,50.3,1013,400,13002,19480,938.702,2.42,2.51,16.64,2.595,0.059,1
25.695,43.02,56,414,12823,20713,937.593,2.39,2.48,16.45,2.566,0.058,0
19.962,47.34,1092,565,12827,19452,938.965,1.91,1.99,13.15,2.051,0.046,1
24.49,50.92,1050,683,12787,19463,939.061,2.3,2.39,15.85,2.471,0.056,1
15.597,51.06,1145,400,12944,19446,938.711,1.45,1.51,10,1.56,0.035,1
24.44,53.78,1356,404,12959,19386,938.7,1.84,1.91,12.68,1.978,0.045,1
31.62,56.61,3419,400,13247,19755,936.918,0.55,0.57,3.78,0.589,0.013,0
26.69,48.77,1101,400,12900,19456,938.75,1.61,1.68,11.1,1.731,0.039,1
17.47,52.1,0,400,13118,20017,939.704,0.65,0.68,4.5,0.702,0.016,0
21.47,49.73,183,400,13159,20079,939.664,0.95,0.98,6.52,1.017,0.023,1
12.823,53.27,1168,401,12882,19444,938.765,1.82,1.89,12.55,1.956,0.044,1
3.269,51.91,300,400,13142,19923,939.686,1.36,1.41,9.36,1.46,0.033,1
24.22,53.61,1061,614,12808,19458,939.091,2,2.08,13.76,2.146,0.048,1
-4.099,56.27,257,400,13139,20004,939.44,0.36,0.38,2.49,0.389,0.009,1
-4.353,48.89,92,400,13238,20133,939.656,2.25,2.34,15.48,2.415,0.055,1
-5.184,66.98,580,646,12813,19676,939.222,2.73,2.83,18.78,2.928,0.066,1
13.458,52.14,1094,400,12902,19456,938.764,1.58,1.64,10.85,1.692,0.038,1
25.88,50.09,954,650,12796,19491,939.057,2.48,2.57,17.05,2.659,0.06,1
24.65,52.96,1331,400,12962,19392,938.709,1.45,1.51,9.99,1.558,0.035,1
18.3,56.53,306,400,13105,19951,939.399,0.35,0.36,2.38,0.371,0.008,1
-5.242,57.02,382,400,13046,19880,939.273,0.32,0.33,2.18,0.34,0.008,1
12.104,44.59,0,400,13406,21235,937.454,1.92,1.99,13.18,2.056,0.046,0
19.574,47.66,1071,498,12853,19464,938.875,2.01,2.09,13.83,2.156,0.049,1
16.61,53.38,80,400,13109,19971,939.586,0.98,1.02,6.77,1.055,0.024,0
12.977,48.37,1044,426,12881,19468,938.811,1.94,2.01,13.33,2.079,0.047,1
19.959,52.03,1210,409,12926,19429,938.698,1.56,1.62,10.76,1.677,0.038,1
